,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,
2010-01-01,4.0,0.01979166666666668,0.3902067204985355,-0.325,-0.31249999999999994,0.0020833333333333537,0.334375,0.4,4.0,0.5833333333333333,0.2983752298328026,0.25,0.38125,0.5916666666666667,0.79375,0.9
2010-01-02,11.0,0.11401515151515153,0.3768761987601753,-0.6,0.006250000000000001,0.2,0.4125,0.5,11.0,0.6087121212121213,0.22940483491598054,0.4,0.43125,0.55,0.7166666666666666,1.0
2010-01-03,20.0,0.2492638888888889,0.17460433035675027,-0.05,0.12712121212121213,0.24236111111111108,0.38125,0.5710227272727273,20.0,0.5458775252525253,0.23230820844491507,0.2,0.3729166666666667,0.5208333333333334,0.7114583333333333,1.0
2010-01-04,44.0,0.2555504859198041,0.31854125055500854,-0.6999999999999998,0.13636363636363635,0.2583333333333333,0.36249999999999993,1.0,44.0,0.5803485613712885,0.19379536635156713,0.2888888888888889,0.395959595959596,0.6,0.7062499999999999,1.0
2010-01-05,48.0,0.1632543346410534,0.3862184525032799,-0.9765625,0.001388888888888891,0.21590909090909088,0.38125,1.0,48.0,0.5350471605940356,0.2525849287521497,0.06666666666666668,0.3229166666666667,0.525,0.7,1.0
2010-01-06,29.0,0.3294933323381599,0.3023709002373697,-0.35,0.125,0.3444444444444444,0.5,1.0,29.0,0.49844351768920714,0.1927376450899994,0.13333333333333333,0.36666666666666653,0.5,0.6166666666666666,0.9
2010-01-07,33.0,0.2825006012506012,0.2733472378114075,-0.4,0.12222222222222222,0.25,0.4,1.0,33.0,0.5458519174428265,0.22658262768339976,0.12222222222222225,0.4,0.5,0.6666666666666666,1.0
2010-01-08,30.0,0.1848931652837903,0.27668572574732,-0.45,-0.03333333333333334,0.17121212121212118,0.41666666666666663,0.6041666666666666,30.0,0.49622955747955744,0.2232249102937884,0.05,0.37083333333333324,0.5333333333333333,0.6102272727272727,1.0
2010-01-09,30.0,0.2080762987012988,0.33174992830724487,-0.6,0.10238095238095239,0.2,0.39687500000000003,0.875,30.0,0.4805635221260222,0.213233734075185,0.06666666666666668,0.30000000000000004,0.4536458333333333,0.625,1.0
2010-01-10,23.0,0.10314164549218897,0.3188756963953887,-0.78125,0.04607142857142857,0.16666666666666666,0.19166666666666665,0.5859375,23.0,0.4082800532800533,0.23139622991098496,0.12994505494505496,0.275,0.36666666666666653,0.475,1.0
2010-01-11,51.0,0.17530369639438267,0.3170525640030333,-0.75,0.04629629629629629,0.2090909090909091,0.3333333333333333,1.0,51.0,0.5161856720802799,0.276292980548303,0.03333333333333333,0.3416666666666667,0.5135416666666666,0.7172619047619048,1.0
